YY,MM,DD,MT,Precipitation,DOTW,W(DOE),PH,Attendance
2009,5,26,66,0,2,0,0,46946
2009,5,27,64,0,3,0,0,63129
2009,5,28,60,0,4,0,0,88815
2009,5,29,74,1,5,0,0,32431
2009,5,30,76,0,6,1,0,27064
2009,5,31,80,0,0,1,0,73272
2009,6,1,70,0,1,0,0,8018
2009,6,2,80,1,2,0,0,45396
2009,6,3,70,1,3,0,0,8798
2009,6,4,67,1,4,0,0,29733
2009,6,5,61,1,5,0,0,64921
2009,6,6,76,0,6,1,0,56343
2009,6,7,81,0,0,1,0,107302
2009,6,8,74,0,1,0,0,14147
2009,6,9,70,1,2,0,0,14996
2009,6,10,66,0,3,0,0,37224
2009,6,11,63,1,4,0,0,61616
2009,6,12,79,1,5,0,0,7728
2009,6,13,73,1,6,1,0,25754
2009,6,14,73,0,0,1,0,56413
2009,6,15,71,1,1,0,0,16442
2009,6,16,68,0,2,0,0,33919
2009,6,17,67,0,3,0,0,45350
2009,6,18,65,1,4,0,0,64990
2009,6,19,76,0,5,0,0,15946
2009,6,20,71,1,6,1,0,3374
2009,6,21,77,1,0,1,0,59084
2009,6,22,73,0,1,0,0,16359
2009,6,23,79,1,2,0,0,2013
2009,6,24,74,1,3,0,0,28424
2009,6,25,79,0,4,0,0,7889
2009,6,26,83,1,5,0,0,980
2009,6,27,80,1,6,1,0,33260
2009,6,28,80,0,0,1,0,63919
2009,6,29,81,0,1,0,0,8776
2009,6,30,84,1,2,0,0,12893
2009,7,1,80,0,3,0,0,30981
2009,7,2,75,1,4,0,0,2913
2009,7,3,77,0,5,0,1,367960
2009,7,4,79,0,6,1,0,59405
2009,7,5,79,0,0,1,0,86606
2009,7,6,82,0,1,0,0,40967
2009,7,7,79,1,2,0,0,16575
2009,7,8,76,1,3,0,0,4359
2009,7,9,72,0,4,0,0,26588
2009,7,10,78,0,5,0,0,4758
2009,7,11,77,0,6,1,0,37025
2009,7,12,81,1,0,1,0,79775
2009,7,13,79,0,1,0,0,13835
2009,7,14,79,0,2,0,0,7155
2009,7,15,81,0,3,0,0,9978
2009,7,16,83,0,4,0,0,12801
2009,7,17,84,1,5,0,0,7416
2009,7,18,81,0,6,1,0,43154
2009,7,19,81,0,0,1,0,70355
2009,7,20,81,0,1,0,0,10460
2009,7,21,72,1,2,0,0,42440
2009,7,22,81,0,3,0,0,2899
2009,7,23,76,1,4,0,0,36794
2009,7,24,78,1,5,0,0,33971
2009,7,25,83,0,6,1,0,39779
2009,7,26,85,1,0,1,0,73026
2009,7,27,82,1,1,0,0,1123
2009,7,28,84,0,2,0,0,5158
2009,7,29,81,1,3,0,0,19234
2009,7,30,85,0,4,0,0,3450
2009,7,31,84,1,5,0,0,18339
2009,8,1,82,0,6,1,0,64307
2009,8,2,74,1,0,1,0,50038
2009,8,3,83,0,1,0,0,36365
2009,8,4,83,0,2,0,0,29685
2009,8,5,85,0,3,0,0,32509
2009,8,6,77,0,4,0,0,12183
2009,8,7,79,0,5,0,0,9360
2009,8,8,76,0,6,1,0,22920
2009,8,9,78,0,0,1,0,59625
2009,8,10,90,1,1,0,0,53291
2009,8,11,86,0,2,0,0,31062
2009,8,12,80,0,3,0,0,4126
2009,8,13,72,0,4,0,0,48818
2009,8,14,84,0,5,0,0,1520
2009,8,15,87,0,6,1,0,62310
2009,8,16,90,0,0,1,0,103765
2009,8,17,91,0,1,0,0,48622
2009,8,18,88,1,2,0,0,24231
2009,8,19,88,0,3,0,0,21008
2009,8,20,88,0,4,0,0,14329
2009,8,21,89,1,5,0,0,8943
2009,8,22,81,1,6,1,0,17466
2009,8,23,84,0,0,1,0,62379
2009,8,24,82,0,1,0,0,7018
2009,8,25,83,0,2,0,0,8947
2009,8,26,84,0,3,0,0,10875
2009,8,27,77,0,4,0,0,50815
2009,8,28,72,1,5,0,0,84710
2009,8,29,72,1,6,1,0,38175
2009,8,30,81,1,0,1,0,31790
2009,8,31,72,0,1,0,0,67411
2009,9,1,73,0,2,0,0,27183
2009,9,2,77,0,3,0,0,14856
2009,9,3,77,0,4,0,0,21536
2009,9,4,82,0,5,0,0,4458
2009,9,5,83,0,6,1,0,46828
2009,9,6,73,0,0,1,0,26514
2009,9,7,73,0,1,0,1,331212
2009,9,8,74,0,2,0,0,35309
2009,9,9,74,0,3,0,0,41988
2009,9,10,67,0,4,0,0,81929
2010,5,26,91,0,3,0,0,70330
2010,5,27,85,1,4,0,0,31684
2010,5,28,64,0,5,0,0,71320
2010,5,29,73,0,6,1,0,17978
2010,5,30,83,0,0,1,0,92694
2010,5,31,80,0,1,0,1,383138
2010,6,1,83,0,2,0,0,68277
2010,6,2,78,0,3,0,0,37839
2010,6,3,85,0,4,0,0,64420
2010,6,4,85,0,5,0,0,57740
2010,6,5,86,0,6,1,0,109027
2010,6,6,89,1,0,1,0,147025
2010,6,7,72,0,1,0,0,9812
2010,6,8,71,1,2,0,0,5076
2010,6,9,66,1,3,0,0,35513
2010,6,10,71,1,4,0,0,18436
2010,6,11,67,0,5,0,0,40664
2010,6,12,72,0,6,1,0,29628
2010,6,13,73,1,0,1,0,58124
2010,6,14,78,0,1,0,0,25444
2010,6,15,74,0,2,0,0,242
2010,6,16,71,0,3,0,0,21176
2010,6,17,73,1,4,0,0,21810
2010,6,18,80,0,5,0,0,8228
2010,6,19,74,0,6,1,0,26254
2010,6,20,89,0,0,1,0,124728
2010,6,21,85,0,1,0,0,45827
2010,6,22,79,1,2,0,0,7181
2010,6,23,88,1,3,0,0,43265
2010,6,24,89,0,4,0,0,44794
2010,6,25,82,0,5,0,0,4854
2010,6,26,87,0,6,1,0,75146
2010,6,27,90,1,0,1,0,113144
2010,6,28,91,0,1,0,0,61459
2010,6,29,87,0,2,0,0,35773
2010,6,30,77,0,3,0,0,18421
2010,7,1,75,0,4,0,0,5712
2010,7,2,78,0,5,0,0,13287
2010,7,3,84,0,6,1,0,88331
2010,7,4,95,0,0,1,0,167799
2010,7,5,93,0,1,0,1,462994
2010,7,6,96,0,2,0,0,105976
2010,7,7,100,0,3,0,0,118302
2010,7,8,81,0,4,0,0,21344
2010,7,9,82,0,5,0,0,19416
2010,7,10,80,0,6,1,0,56448
2010,7,11,84,0,0,1,0,102655
2010,7,12,88,0,1,0,0,61767
2010,7,13,80,1,2,0,0,13617
2010,7,14,77,1,3,0,0,7317
2010,7,15,81,1,4,0,0,5009
2010,7,16,92,0,5,0,0,54054
2010,7,17,91,0,6,1,0,95837
2010,7,18,91,0,0,1,0,123038
2010,7,19,90,1,1,0,0,54935
2010,7,20,87,0,2,0,0,37458
2010,7,21,92,1,3,0,0,51078
2010,7,22,87,0,4,0,0,24099
2010,7,23,90,1,5,0,0,28216
2010,7,24,94,0,6,1,0,97214
2010,7,25,89,1,0,1,0,97200
2010,7,26,85,0,1,0,0,21757
2010,7,27,86,0,2,0,0,19829
2010,7,28,88,0,3,0,0,22652
2010,7,29,87,1,4,0,0,7764
2010,7,30,82,0,5,0,0,19216
2010,7,31,78,0,6,1,0,8313
2010,8,1,76,0,0,1,0,68167
2010,8,2,77,0,1,0,0,13024
2010,8,3,80,0,2,0,0,20599
2010,8,4,86,0,3,0,0,42428
2010,8,5,89,0,4,0,0,50003
2010,8,6,86,0,5,0,0,29069
2010,8,7,80,0,6,1,0,47095
2010,8,8,81,0,0,1,0,79047
2010,8,9,85,0,1,0,0,38159
2010,8,10,85,0,2,0,0,31479
2010,8,11,89,0,3,0,0,43806
2010,8,12,77,1,4,0,0,23350
2010,8,13,77,0,5,0,0,26572
2010,8,14,75,0,6,1,0,10460
2010,8,15,75,1,0,1,0,34204
2010,8,16,81,1,1,0,0,2818
2010,8,17,88,0,2,0,0,32856
2010,8,18,80,0,3,0,0,11835
2010,8,19,84,0,4,0,0,491
2010,8,20,87,0,5,0,0,8066
2010,8,21,80,0,6,1,0,21340
2010,8,22,79,1,0,1,0,40332
2010,8,23,73,1,1,0,0,48071
2010,8,24,71,1,2,0,0,64254
2010,8,25,71,1,3,0,0,70934
2010,8,26,81,0,4,0,0,26641
2010,8,27,79,0,5,0,0,42824
2010,8,28,83,0,6,1,0,22717
2010,8,29,90,0,0,1,0,83179
2010,8,30,90,0,1,0,0,23285
