YY,MM,DD,MT,Precipitation,DOTW,W(DOE),PH,Attendance
2009,5,26,66,0,2,0,0,7462
2009,5,27,63,0,3,0,0,175
2009,5,28,60,0,4,0,0,7112
2009,5,29,74,1,5,0,0,4025
2009,5,30,76,0,6,1,0,20368
2009,5,31,80,0,0,1,0,44881
2009,6,1,70,0,1,0,0,14090
2009,6,2,80,0,2,0,0,25378
2009,6,3,70,1,3,0,0,2222
2009,6,4,67,1,4,0,0,5065
2009,6,5,61,1,5,0,0,16638
2009,6,6,76,0,6,1,0,18281
2009,6,7,81,0,0,1,0,44222
2009,6,8,75,0,1,0,0,22030
2009,6,9,70,1,2,0,0,6019
2009,6,10,66,0,3,0,0,3170
2009,6,11,63,1,4,0,0,9984
2009,6,12,79,1,5,0,0,9877
2009,6,13,73,1,6,1,0,8923
2009,6,14,72,0,0,1,0,32159
2009,6,15,71,1,1,0,0,11244
2009,6,16,68,0,2,0,0,9824
2009,6,17,67,0,3,0,0,5395
2009,6,18,65,1,4,0,0,6330
2009,6,19,77,0,5,0,0,13683
2009,6,20,71,1,6,1,0,6861
2009,6,21,77,1,0,1,0,34232
2009,6,22,73,0,1,0,0,20764
2009,6,23,79,1,2,0,0,20470
2009,6,24,74,1,3,0,0,10326
2009,6,25,78,0,4,0,0,18908
2009,6,26,83,1,5,0,0,17185
2009,6,27,80,1,6,1,0,20517
2009,6,28,80,0,0,1,0,45182
2009,6,29,82,0,1,0,0,34420
2009,6,30,84,1,2,0,0,28411
2009,7,1,79,0,3,0,0,21363
2009,7,2,75,1,4,0,0,6780
2009,7,3,78,0,5,0,1,59787
2009,7,4,79,0,6,1,0,22981
2009,7,5,79,0,0,1,0,41779
2009,7,6,82,0,1,0,0,32446
2009,7,7,80,1,2,0,0,20721
2009,7,8,76,1,3,0,0,12005
2009,7,9,72,0,4,0,0,9157
2009,7,10,77,0,5,0,0,13301
2009,7,11,77,0,6,1,0,20919
2009,7,12,81,1,0,1,0,39565
2009,7,13,78,0,1,0,0,27527
2009,7,14,79,0,2,0,0,25955
2009,7,15,81,0,3,0,0,25813
2009,7,16,83,0,4,0,0,25670
