YY,MM,DD,Maximum Temperature,Precipitation,Day Of The Week,Weekday or Weekend,A Public Hoilday,Attendance
2009,5,26,66,0,2,0,0,46946
2009,5,27,63,0,3,0,0,67881
2009,5,28,59,1,4,0,0,97024
2009,5,29,71,1,5,0,0,46685
2009,5,30,76,0,6,1,0,27064
2009,5,31,79,0,0,1,0,68520
2009,6,1,66,0,1,0,0,10988
2009,6,2,79,1,2,0,0,40645
2009,6,3,71,1,3,0,0,4047
2009,6,4,65,1,4,0,0,39236
2009,6,5,61,1,5,0,0,64921
2009,6,6,74,0,6,1,0,46840
2009,6,7,80,0,0,1,0,102551
2009,6,8,73,0,1,0,0,9396
2009,6,9,70,1,2,0,0,14996
2009,6,10,66,0,3,0,0,37224
2009,6,11,63,1,4,0,0,61616
2009,6,12,79,1,5,0,0,7728
2009,6,13,72,1,6,1,0,21003
2009,6,14,71,0,0,1,0,46910
2009,6,15,69,1,1,0,0,25945
2009,6,16,66,0,2,0,0,43422
2009,6,17,67,0,3,0,0,45350
2009,6,18,65,1,4,0,0,64990
2009,6,19,77,0,5,0,0,11195
2009,6,20,71,1,6,1,0,3374
2009,6,21,77,1,0,1,0,59084
2009,6,22,73,0,1,0,0,16359
2009,6,23,79,1,2,0,0,2013
2009,6,24,74,1,3,0,0,28424
2009,6,25,77,0,4,0,0,17392
2009,6,26,82,1,5,0,0,3772
2009,6,27,81,1,6,1,0,38012
2009,6,28,78,0,0,1,0,54416
2009,6,29,83,0,1,0,0,18279
2009,6,30,82,1,2,0,0,3390
2009,7,1,78,0,3,0,0,21478
2009,7,2,76,1,4,0,0,1838
2009,7,3,79,0,5,0,1,377463
2009,7,4,81,0,6,1,0,68908
2009,7,5,79,0,0,1,0,86606
2009,7,6,82,0,1,0,0,40967
2009,7,7,80,1,2,0,0,21326
2009,7,8,78,1,3,0,0,5144
2009,7,9,71,0,4,0,0,31339
2009,7,10,74,0,5,0,0,23764
2009,7,11,76,0,6,1,0,32273
2009,7,12,83,1,0,1,0,89278
2009,7,13,78,0,1,0,0,9083
2009,7,14,79,0,2,0,0,7155
2009,7,15,80,0,3,0,0,5227
2009,7,16,82,0,4,0,0,8050
2009,7,17,84,1,5,0,0,7416
2009,7,18,83,0,6,1,0,52657
2009,7,19,82,0,0,1,0,75106
2009,7,20,81,0,1,0,0,10460
2009,7,21,72,1,2,0,0,42440
2009,7,22,81,0,3,0,0,2899
2009,7,23,77,1,4,0,0,32042
2009,7,24,78,1,5,0,0,33971
2009,7,25,83,0,6,1,0,39779
2009,7,26,84,1,0,1,0,68275
2009,7,27,83,1,1,0,0,3629
2009,7,28,84,0,2,0,0,5158
2009,7,29,82,1,3,0,0,14482
2009,7,30,86,0,4,0,0,1301
2009,7,31,86,1,5,0,0,8836
2009,8,1,82,0,6,1,0,64307
2009,8,2,76,1,0,1,0,59541
2009,8,3,83,0,1,0,0,36365
2009,8,4,84,0,2,0,0,34437
2009,8,5,86,0,3,0,0,37260
2009,8,6,77,0,4,0,0,12183
2009,8,7,81,0,5,0,0,143
2009,8,8,77,0,6,1,0,27672
2009,8,9,79,0,0,1,0,64376
2009,8,10,91,1,1,0,0,58042
2009,8,11,88,0,2,0,0,40565
2009,8,12,80,0,3,0,0,4126
2009,8,13,74,0,4,0,0,39315
2009,8,14,83,0,5,0,0,3231
2009,8,15,86,0,6,1,0,57558
2009,8,16,90,0,0,1,0,103765
2009,8,17,90,0,1,0,0,43871
2009,8,18,88,1,2,0,0,24231
2009,8,19,88,0,3,0,0,21008
2009,8,20,88,0,4,0,0,14329
2009,8,21,88,1,5,0,0,4192
2009,8,22,83,1,6,1,0,26969
2009,8,23,84,0,0,1,0,62379
2009,8,24,83,0,1,0,0,2267
2009,8,25,84,0,2,0,0,4195
2009,8,26,86,0,3,0,0,1372
2009,8,27,77,0,4,0,0,50815
2009,8,28,73,1,5,0,0,79958
2009,8,29,72,1,6,1,0,38175
2009,8,30,82,0,0,1,0,39999
2009,8,31,71,0,1,0,0,72162
2009,9,1,73,0,2,0,0,27183
2009,9,2,75,0,3,0,0,24359
2009,9,3,76,0,4,0,0,26288
2009,9,4,82,0,5,0,0,4458
2009,9,5,84,0,6,1,0,51579
2009,9,6,73,0,0,1,0,26514
2009,9,7,72,0,1,0,1,326460
2009,9,8,74,0,2,0,0,35309
2009,9,9,75,0,3,0,0,37237
2009,9,10,69,0,4,0,0,72426
2010,5,26,90,0,3,0,0,65578
2010,5,27,84,0,4,0,0,30390
2010,5,28,68,0,5,0,0,52314
2010,5,29,73,0,6,1,0,17978
2010,5,30,85,0,0,1,0,102197
2010,5,31,80,0,1,0,1,383138
2010,6,1,84,0,2,0,0,73028
2010,6,2,82,0,3,0,0,56845
2010,6,3,86,0,4,0,0,69172
2010,6,4,87,0,5,0,0,67243
2010,6,5,87,0,6,1,0,113778
2010,6,6,88,0,0,1,0,145731
2010,6,7,75,0,1,0,0,24067
2010,6,8,72,0,2,0,0,3133
2010,6,9,68,1,3,0,0,26010
2010,6,10,73,1,4,0,0,8933
2010,6,11,69,0,5,0,0,31161
2010,6,12,76,0,6,1,0,48634
2010,6,13,75,1,0,1,0,67627
2010,6,14,75,0,1,0,0,11190
2010,6,15,77,0,2,0,0,14013
2010,6,16,73,0,3,0,0,11673
2010,6,17,74,1,4,0,0,17059
2010,6,18,83,0,5,0,0,22483
2010,6,19,77,0,6,1,0,40509
2010,6,20,87,0,0,1,0,115225
2010,6,21,88,0,1,0,0,60082
2010,6,22,80,1,2,0,0,11933
2010,6,23,89,0,3,0,0,51474
2010,6,24,92,0,4,0,0,59049
2010,6,25,86,0,5,0,0,23860
2010,6,26,87,0,6,1,0,75146
2010,6,27,89,0,0,1,0,111850
2010,6,28,93,0,1,0,0,70962
2010,6,29,88,0,2,0,0,40525
2010,6,30,78,0,3,0,0,13670
2010,7,1,77,0,4,0,0,15215
2010,7,2,81,0,5,0,0,27542
2010,7,3,87,0,6,1,0,102586
2010,7,4,94,0,0,1,0,163047
2010,7,5,96,0,1,0,1,477248
2010,7,6,99,0,2,0,0,120231
2010,7,7,97,0,3,0,0,104048
2010,7,8,86,0,4,0,0,45102
2010,7,9,86,0,5,0,0,38422
2010,7,10,82,0,6,1,0,65951
2010,7,11,89,0,0,1,0,126412
2010,7,12,90,0,1,0,0,71270
2010,7,13,83,1,2,0,0,27872
2010,7,14,80,1,3,0,0,6938
2010,7,15,85,1,4,0,0,24015
2010,7,16,89,0,5,0,0,39799
2010,7,17,92,0,6,1,0,100588
2010,7,18,92,0,0,1,0,127790
2010,7,19,89,1,1,0,0,50183
2010,7,20,87,0,2,0,0,37458
2010,7,21,90,0,3,0,0,45033
2010,7,22,87,0,4,0,0,24099
2010,7,23,84,1,5,0,0,293
2010,7,24,95,0,6,1,0,101966
2010,7,25,91,1,0,1,0,106703
2010,7,26,86,0,1,0,0,26509
2010,7,27,89,0,2,0,0,34084
2010,7,28,86,0,3,0,0,13149
2010,7,29,86,0,4,0,0,6470
2010,7,30,80,0,5,0,0,28719
2010,7,31,80,0,6,1,0,17816
2010,8,1,78,0,0,1,0,77670
2010,8,2,81,0,1,0,0,32030
2010,8,3,82,0,2,0,0,30102
2010,8,4,87,0,3,0,0,47180
2010,8,5,91,0,4,0,0,59506
2010,8,6,87,0,5,0,0,33820
2010,8,7,82,0,6,1,0,56598
2010,8,8,85,0,0,1,0,98053
2010,8,9,88,0,1,0,0,52414
2010,8,10,88,0,2,0,0,45734
2010,8,11,90,0,3,0,0,48557
2010,8,12,77,1,4,0,0,23350
2010,8,13,77,0,5,0,0,26572
2010,8,14,77,0,6,1,0,19963
2010,8,15,77,1,0,1,0,43707
2010,8,16,83,1,1,0,0,12321
2010,8,17,89,0,2,0,0,37608
2010,8,18,81,0,3,0,0,7084
2010,8,19,87,0,4,0,0,14746
2010,8,20,89,0,5,0,0,17569
2010,8,21,79,0,6,1,0,16589
2010,8,22,81,1,0,1,0,49835
2010,8,23,72,1,1,0,0,52823
2010,8,24,70,0,2,0,0,65548
2010,8,25,71,1,3,0,0,70934
2010,8,26,82,0,4,0,0,21889
2010,8,27,78,0,5,0,0,47575
2010,8,28,82,0,6,1,0,17966
2010,8,29,94,0,0,1,0,102185
2010,8,30,90,0,1,0,0,23285
2010,8,31,95,0,2,0,0,40362
2010,9,1,93,0,3,0,0,66336
2010,9,2,88,0,4,0,0,35899
2010,9,3,83,0,5,0,0,5461
2010,9,4,80,0,6,1,0,37742
2010,9,5,76,0,0,1,0,45937
2010,9,6,77,0,1,0,1,355386
2010,9,7,83,0,2,0,0,12623
2010,9,8,89,0,3,0,0,34453
2010,9,9,70,0,4,0,0,62506
2010,9,10,71,0,5,0,0,64434
2011,5,26,76,0,4,0,0,2454
2011,5,27,79,0,5,0,0,5121
2011,5,28,81,0,6,1,0,61159
2011,5,29,80,0,0,1,0,83608
2011,5,30,85,1,1,0,1,408606
2011,5,31,83,0,2,0,0,31289
2011,6,1,86,0,3,0,0,81020
2011,6,2,84,0,4,0,0,64837
2011,6,3,76,0,5,0,0,20145
2011,6,4,76,0,6,1,0,66680
2011,6,5,66,0,0,1,0,46366
2011,6,6,79,0,1,0,0,48241
2011,6,7,88,0,2,0,0,84325
2011,6,8,90,0,3,0,0,87148
2011,6,9,94,1,4,0,0,96017
2011,6,10,84,0,5,0,0,45280
2011,6,11,72,1,6,1,0,31339
2011,6,12,71,1,0,1,0,53789
2011,6,13,73,0,1,0,0,6855
2011,6,14,67,0,2,0,0,28334
2011,6,15,83,0,3,0,0,41011
2011,6,16,84,0,4,0,0,39082
2011,6,17,76,1,5,0,0,9067
2011,6,18,82,0,6,1,0,69434
2011,6,19,80,0,0,1,0,87133
2011,6,20,78,0,1,0,0,17735
2011,6,21,80,0,2,0,0,20558
2011,6,22,79,1,3,0,0,5670
2011,6,23,71,1,4,0,0,39022
2011,6,24,70,0,5,0,0,46996
2011,6,25,78,0,6,1,0,37551
2011,6,26,79,0,0,1,0,69504
2011,6,27,81,0,1,0,0,19112
2011,6,28,82,0,2,0,0,17184
2011,6,29,82,0,3,0,0,10504
2011,6,30,81,0,4,0,0,927
2011,7,1,82,0,5,0,0,37462
2011,7,2,84,0,6,1,0,93499
2011,7,3,76,1,0,1,0,79231
2011,7,4,86,0,1,0,1,434901
2011,7,5,88,0,2,0,0,73132
2011,7,6,87,0,3,0,0,61701
2011,7,7,89,0,4,0,0,64524
2011,7,8,82,1,5,0,0,21127
2011,7,9,87,1,6,1,0,91419
2011,7,10,83,0,0,1,0,103072
2011,7,11,89,0,1,0,0,71686
2011,7,12,92,0,2,0,0,79261
2011,7,13,86,0,3,0,0,44072
2011,7,14,81,0,4,0,0,13635
2011,7,15,84,0,5,0,0,21210
2011,7,16,88,0,6,1,0,86751
2011,7,17,89,0,0,1,0,118703
2011,7,18,93,0,1,0,0,77815
2011,7,19,91,0,2,0,0,61632
