YY,MM,DD,MT,Precipitation,DOTW,W(DOE),PH,Attendance
2009,5,26,68,0,2,0,0,22293
2009,5,27,67,0,3,0,0,22720
2009,5,28,63,0,4,0,0,23756
2009,5,29,75,1,5,0,0,20892
2009,5,30,79,0,6,1,0,20603
2009,5,31,82,0,0,1,0,18720
2009,6,1,73,0,1,0,0,19958
2009,6,2,80,0,2,0,0,18762
2009,6,3,73,1,3,0,0,19753
2009,6,4,66,1,4,0,0,21397
2009,6,5,61,1,5,0,0,22635
2009,6,6,78,0,6,1,0,19709
2009,6,7,82,0,0,1,0,17623
2009,6,8,75,0,1,0,0,19622
2009,6,9,72,1,2,0,0,19801
2009,6,10,69,0,3,0,0,21287
2009,6,11,65,1,4,0,0,21669
2009,6,12,81,1,5,0,0,18647
2009,6,13,75,1,6,1,0,19734
2009,6,14,71,0,0,1,0,19924
2009,6,15,70,1,1,0,0,20052
2009,6,16,66,0,2,0,0,21740
2009,6,17,66,0,3,0,0,21964
2009,6,18,66,1,4,0,0,21535
2009,6,19,79,0,5,0,0,19775
2009,6,20,70,1,6,1,0,20817
2009,6,21,80,1,0,1,0,17514
2009,6,22,75,0,1,0,0,19760
2009,6,23,82,0,2,0,0,18564
2009,6,24,78,1,3,0,0,18946
2009,6,25,80,0,4,0,0,19417
2009,6,26,86,1,5,0,0,17771
2009,6,27,82,0,6,1,0,19105
2009,6,28,80,0,0,1,0,18236
2009,6,29,84,0,1,0,0,18003
2009,6,30,85,1,2,0,0,17371
2009,7,1,81,0,3,0,0,17903
2009,7,2,77,1,4,0,0,18286
2009,7,3,79,0,5,0,1,8845
2009,7,4,81,0,6,1,0,18221
2009,7,5,80,0,0,1,0,17149
2009,7,6,84,0,1,0,0,16916
2009,7,7,81,1,2,0,0,17095
2009,7,8,78,0,3,0,0,18581
2009,7,9,73,0,4,0,0,19819
2009,7,10,76,0,5,0,0,19435
2009,7,11,80,0,6,1,0,18493
2009,7,12,83,1,0,1,0,15956
2009,7,13,81,0,1,0,0,17594
2009,7,14,81,0,2,0,0,17818
2009,7,15,84,0,3,0,0,17433
2009,7,16,89,0,4,0,0,16643
2009,7,17,86,1,5,0,0,16822
2009,7,18,84,0,6,1,0,17750
2009,7,19,83,0,0,1,0,16679
2009,7,20,82,0,1,0,0,17460
2009,7,21,74,1,2,0,0,18653
2009,7,22,81,0,3,0,0,18111
2009,7,23,78,1,4,0,0,18290
2009,7,24,81,0,5,0,0,18559
2009,7,25,84,0,6,1,0,17820
2009,7,26,86,1,0,1,0,15486
2009,7,27,84,1,1,0,0,16470
2009,7,28,85,0,2,0,0,17144
2009,7,29,84,1,3,0,0,16918
2009,7,30,87,0,4,0,0,17186
2009,7,31,87,1,5,0,0,16757
2009,8,1,83,0,6,1,0,16926
2009,8,2,76,1,0,1,0,16418
2009,8,3,86,0,1,0,0,15621
2009,8,4,85,0,2,0,0,16047
2009,8,5,88,0,3,0,0,15663
2009,8,6,79,0,4,0,0,17713
2009,8,7,82,0,5,0,0,17328
2009,8,8,78,0,6,1,0,18009
2009,8,9,78,0,0,1,0,16734
2009,8,10,93,1,1,0,0,13616
2009,8,11,89,0,2,0,0,15305
2009,8,12,83,1,3,0,0,16093
2009,8,13,74,0,4,0,0,18796
2009,8,14,85,0,5,0,0,16788
2009,8,15,88,0,6,1,0,16049
2009,8,16,92,0,0,1,0,13963
2009,8,17,93,0,1,0,0,14339
2009,8,18,89,1,2,0,0,14721
2009,8,19,90,0,3,0,0,15395
2009,8,20,89,0,4,0,0,15822
2009,8,21,93,0,5,0,0,15235
2009,8,22,83,1,6,1,0,16479
2009,8,23,83,1,0,1,0,15205
2009,8,24,85,0,1,0,0,16031
