YY,MM,DD,MT,Precipitation,DOTW,W(DOE),PH,Attendance
2009,5,26,68,0,2,0,0,833
2009,5,27,67,0,3,0,0,786
2009,5,28,63,0,4,0,0,700
2009,5,29,75,1,5,0,0,676
2009,5,30,79,0,6,1,0,983
2009,5,31,82,0,0,1,0,1217
2009,6,1,73,0,1,0,0,948
2009,6,2,80,0,2,0,0,1000
2009,6,3,73,1,3,0,0,738
2009,6,4,66,1,4,0,0,615
2009,6,5,61,1,5,0,0,518
2009,6,6,78,0,6,1,0,987
2009,6,7,82,0,0,1,0,1233
2009,6,8,75,0,1,0,0,958
2009,6,9,72,1,2,0,0,746
2009,6,10,69,0,3,0,0,812
2009,6,11,65,1,4,0,0,588
2009,6,12,81,1,5,0,0,753
2009,6,13,75,1,6,1,0,796
2009,6,14,71,0,0,1,0,1081
2009,6,15,70,1,1,0,0,741
2009,6,16,66,0,2,0,0,795
2009,6,17,66,0,3,0,0,759
2009,6,18,66,1,4,0,0,585
2009,6,19,79,0,5,0,0,852
2009,6,20,70,1,6,1,0,718
2009,6,21,80,1,0,1,0,1040
2009,6,22,75,0,1,0,0,928
2009,6,23,82,0,2,0,0,980
2009,6,24,78,1,3,0,0,756
2009,6,25,80,0,4,0,0,884
2009,6,26,86,1,5,0,0,785
2009,6,27,82,0,6,1,0,992
2009,6,28,80,0,0,1,0,1163
2009,6,29,84,0,1,0,0,1025
2009,6,30,85,1,2,0,0,864
2009,7,1,81,0,3,0,0,946
2009,7,2,77,1,4,0,0,722
2009,7,3,79,0,5,0,1,1631
2009,7,4,81,0,6,1,0,994
2009,7,5,80,0,0,1,0,1178
2009,7,6,84,0,1,0,0,1039
2009,7,7,81,1,2,0,0,828
2009,7,8,78,0,3,0,0,894
2009,7,9,73,0,4,0,0,796
2009,7,10,76,0,5,0,0,798
2009,7,11,80,0,6,1,0,966
2009,7,12,83,1,0,1,0,1061
2009,7,13,81,0,1,0,0,987
2009,7,14,81,0,2,0,0,952
2009,7,15,84,0,3,0,0,954
2009,7,16,89,0,4,0,0,981
2009,7,17,86,1,5,0,0,770
2009,7,18,84,0,6,1,0,1001
2009,7,19,83,0,0,1,0,1185
2009,7,20,82,0,1,0,0,984
2009,7,21,74,1,2,0,0,710
2009,7,22,81,0,3,0,0,901
2009,7,23,78,1,4,0,0,690
2009,7,24,81,0,5,0,0,831
2009,7,25,84,0,6,1,0,986
2009,7,26,86,1,0,1,0,1069
2009,7,27,84,1,1,0,0,856
2009,7,28,85,0,2,0,0,972
2009,7,29,84,1,3,0,0,785
2009,7,30,87,0,4,0,0,926
2009,7,31,87,1,5,0,0,752
2009,8,1,83,0,6,1,0,990
2009,8,2,76,1,0,1,0,960
2009,8,3,86,0,1,0,0,1036
2009,8,4,85,0,2,0,0,988
2009,8,5,88,0,3,0,0,990
2009,8,6,79,0,4,0,0,842
2009,8,7,82,0,5,0,0,845
2009,8,8,78,0,6,1,0,912
2009,8,9,78,0,0,1,0,1109
2009,8,10,93,1,1,0,0,970
2009,8,11,89,0,2,0,0,1023
2009,8,12,83,1,3,0,0,774
2009,8,13,74,0,4,0,0,765
2009,8,14,85,0,5,0,0,867
2009,8,15,88,0,6,1,0,1023
2009,8,16,92,0,0,1,0,1269
2009,8,17,93,0,1,0,0,1093
2009,8,18,89,1,2,0,0,869
2009,8,19,90,0,3,0,0,985
2009,8,20,89,0,4,0,0,938
2009,8,21,93,0,5,0,0,952
2009,8,22,83,1,6,1,0,806
2009,8,23,83,1,0,1,0,1003
2009,8,24,85,0,1,0,0,978
2009,8,25,84,0,2,0,0,930
2009,8,26,88,0,3,0,0,945
2009,8,27,78,0,4,0,0,785
2009,8,28,72,1,5,0,0,536
2009,8,29,74,1,6,1,0,679
2009,8,30,83,1,0,1,0,988
2009,8,31,73,0,1,0,0,813
2009,9,1,74,0,2,0,0,822
2009,9,2,76,0,3,0,0,811
2009,9,3,79,0,4,0,0,814
2009,9,4,83,0,5,0,0,829
2009,9,5,84,0,6,1,0,959
2009,9,6,75,0,0,1,0,1043
2009,9,7,74,0,1,0,1,1623
2009,9,8,75,0,2,0,0,819
2009,9,9,75,0,3,0,0,784
2009,9,10,70,0,4,0,0,686
2010,5,26,92,0,3,0,0,1021
2010,5,27,85,0,4,0,0,898
2010,5,28,63,0,5,0,0,588
2010,5,29,72,0,6,1,0,818
2010,5,30,84,0,0,1,0,1165
2010,5,31,78,0,1,0,1,1682
2010,6,1,83,0,2,0,0,960
2010,6,2,75,0,3,0,0,825
2010,6,3,85,0,4,0,0,915
2010,6,4,85,0,5,0,0,879
2010,6,5,86,0,6,1,0,1010
2010,6,6,89,0,0,1,0,1244
2010,6,7,73,0,1,0,0,855
2010,6,8,71,0,2,0,0,795
2010,6,9,68,0,3,0,0,722
2010,6,10,74,0,4,0,0,762
2010,6,11,69,0,5,0,0,664
2010,6,12,72,0,6,1,0,819
2010,6,13,72,0,0,1,0,1016
2010,6,14,80,0,1,0,0,928
2010,6,15,72,0,2,0,0,792
2010,6,16,70,0,3,0,0,732
2010,6,17,73,0,4,0,0,734
2010,6,18,79,0,5,0,0,774
2010,6,19,73,0,6,1,0,817
2010,6,20,89,0,0,1,0,1214
2010,6,21,86,0,1,0,0,988
2010,6,22,79,0,2,0,0,865
2010,6,23,88,0,3,0,0,942
2010,6,24,90,0,4,0,0,932
2010,6,25,82,0,5,0,0,797
2010,6,26,86,0,6,1,0,965
2010,6,27,91,0,0,1,0,1224
2010,6,28,90,0,1,0,0,1023
2010,6,29,86,0,2,0,0,938
2010,6,30,76,0,3,0,0,777
2010,7,1,75,0,4,0,0,759
2010,7,2,79,0,5,0,0,773
2010,7,3,81,0,6,1,0,916
2010,7,4,94,0,0,1,0,1275
2010,7,5,91,0,1,0,1,1830
2010,7,6,94,0,2,0,0,1052
2010,7,7,99,0,3,0,0,1079
2010,7,8,78,0,4,0,0,781
2010,7,9,78,0,5,0,0,746
2010,7,10,79,0,6,1,0,876
2010,7,11,84,0,0,1,0,1135
2010,7,12,84,0,1,0,0,947
2010,7,13,79,0,2,0,0,849
2010,7,14,78,0,3,0,0,801
2010,7,15,80,0,4,0,0,791
2010,7,16,92,0,5,0,0,906
2010,7,17,90,0,6,1,0,999
2010,7,18,90,0,0,1,0,1195
2010,7,19,90,0,1,0,0,1007
2010,7,20,86,0,2,0,0,922
2010,7,21,91,0,3,0,0,949
2010,7,22,87,0,4,0,0,864
2010,7,23,90,0,5,0,0,866
2010,7,24,93,0,6,1,0,1021
2010,7,25,90,0,0,1,0,1180
2010,7,26,85,0,1,0,0,930
2010,7,27,88,0,2,0,0,932
2010,7,28,87,0,3,0,0,884
2010,7,29,87,0,4,0,0,849
2010,7,30,81,0,5,0,0,738
2010,7,31,76,0,6,1,0,794
2010,8,1,75,0,0,1,0,1009
2010,8,2,75,0,1,0,0,821
2010,8,3,79,0,2,0,0,836
2010,8,4,86,0,3,0,0,888
2010,8,5,88,0,4,0,0,878
2010,8,6,85,0,5,0,0,805
2010,8,7,76,0,6,1,0,810
2010,8,8,79,0,0,1,0,1044
2010,8,9,84,0,1,0,0,918
2010,8,10,83,0,2,0,0,871
2010,8,11,87,0,3,0,0,885
2010,8,12,76,0,4,0,0,713
2010,8,13,74,0,5,0,0,652
2010,8,14,72,0,6,1,0,745
2010,8,15,75,0,0,1,0,979
2010,8,16,81,0,1,0,0,866
2010,8,17,86,0,2,0,0,893
2010,8,18,81,0,3,0,0,795
2010,8,19,80,0,4,0,0,748
2010,8,20,87,0,5,0,0,800
2010,8,21,78,0,6,1,0,805
2010,8,22,78,0,0,1,0,1002
2010,8,23,73,0,1,0,0,751
2010,8,24,70,0,2,0,0,678
2010,8,25,71,0,3,0,0,655
2010,8,26,80,0,4,0,0,733
2010,8,27,77,0,5,0,0,660
2010,8,28,82,0,6,1,0,840
2010,8,29,91,0,0,1,0,1149
2010,8,30,90,0,1,0,0,948
2010,8,31,93,0,2,0,0,951
2010,9,1,91,0,3,0,0,922
2010,9,2,91,0,4,0,0,887
2010,9,3,82,0,5,0,0,739
2010,9,4,79,0,6,1,0,819
2010,9,5,74,0,0,1,0,953
2010,9,6,72,0,1,0,1,1520
2010,9,7,86,0,2,0,0,880
2010,9,8,86,0,3,0,0,844
2010,9,9,69,0,4,0,0,596
2010,9,10,70,0,5,0,0,574
2011,5,26,77,0,4,0,0,721
2011,5,27,86,0,5,0,0,798
2011,5,28,83,0,6,1,0,878
2011,5,29,85,0,0,1,0,1100
2011,5,30,89,1,1,0,1,1603
2011,5,31,88,0,2,0,0,914
2011,6,1,93,0,3,0,0,973
2011,6,2,84,0,4,0,0,825
2011,6,3,78,0,5,0,0,714
2011,6,4,75,0,6,1,0,795
2011,6,5,68,0,0,1,0,904
2011,6,6,83,0,1,0,0,903
2011,6,7,89,0,2,0,0,943
2011,6,8,96,0,3,0,0,995
2011,6,9,98,1,4,0,0,846
2011,6,10,87,0,5,0,0,812
2011,6,11,74,1,6,1,0,628
2011,6,12,73,1,0,1,0,812
2011,6,13,74,0,1,0,0,775
2011,6,14,69,1,2,0,0,539
2011,6,15,86,0,3,0,0,855
2011,6,16,84,0,4,0,0,795
2011,6,17,77,1,5,0,0,533
2011,6,18,85,0,6,1,0,890
2011,6,19,84,0,0,1,0,1074
2011,6,20,80,0,1,0,0,835
2011,6,21,83,0,2,0,0,838
2011,6,22,80,1,3,0,0,626
2011,6,23,74,1,4,0,0,516
2011,6,24,72,1,5,0,0,455
2011,6,25,81,0,6,1,0,825
2011,6,26,80,0,0,1,0,1009
2011,6,27,82,0,1,0,0,845
2011,6,28,84,0,2,0,0,835
2011,6,29,83,0,3,0,0,787
2011,6,30,84,0,4,0,0,765
2011,7,1,85,0,5,0,0,771
2011,7,2,87,0,6,1,0,914
2011,7,3,75,1,0,1,0,822
2011,7,4,89,0,1,0,1,1728
2011,7,5,91,0,2,0,0,937
2011,7,6,92,0,3,0,0,914
2011,7,7,93,0,4,0,0,892
2011,7,8,86,1,5,0,0,630
2011,7,9,89,1,6,1,0,785
2011,7,10,85,0,0,1,0,1071
2011,7,11,93,0,1,0,0,982
2011,7,12,96,0,2,0,0,985
2011,7,13,87,1,3,0,0,698
2011,7,14,85,0,4,0,0,776
2011,7,15,89,0,5,0,0,791
2011,7,16,91,0,6,1,0,934
2011,7,17,92,0,0,1,0,1143
2011,7,18,96,1,1,0,0,866
2011,7,19,94,0,2,0,0,945
2011,7,20,88,0,3,0,0,834
2011,7,21,101,0,4,0,0,962
2011,7,22,106,0,5,0,0,989
2011,7,23,101,0,6,1,0,1044
2011,7,24,91,0,0,1,0,1116
2011,7,25,80,1,1,0,0,651
2011,7,26,92,1,2,0,0,766
2011,7,27,87,0,3,0,0,807
2011,7,28,89,0,4,0,0,796
2011,7,29,87,1,5,0,0,597
2011,7,30,93,1,6,1,0,790
2011,7,31,93,0,0,1,0,1126
2011,8,1,95,1,1,0,0,855
2011,8,2,91,1,2,0,0,770
2011,8,3,86,1,3,0,0,672
2011,8,4,83,1,4,0,0,599
2011,8,5,85,0,5,0,0,728
2011,8,6,84,1,6,1,0,694
2011,8,7,92,1,0,1,0,991
2011,8,8,91,0,1,0,0,929
2011,8,9,82,1,2,0,0,642
2011,8,10,87,0,3,0,0,808
2011,8,11,83,0,4,0,0,723
2011,8,12,85,0,5,0,0,713
2011,8,13,86,0,6,1,0,843
2011,8,14,75,1,0,1,0,763
2011,8,15,77,1,1,0,0,600
2011,8,16,80,1,2,0,0,602
2011,8,17,87,0,3,0,0,793
2011,8,18,84,1,4,0,0,581
2011,8,19,85,1,5,0,0,559
2011,8,20,86,1,6,1,0,689
2011,8,21,86,1,0,1,0,886
2011,8,22,79,1,1,0,0,610
2011,8,23,80,0,2,0,0,726
2011,8,24,81,0,3,0,0,703
2011,8,25,79,1,4,0,0,504
2011,8,26,83,0,5,0,0,657
2011,8,27,79,1,6,1,0,586
2011,8,28,77,1,0,1,0,758
2011,8,29,78,0,1,0,0,721
2011,8,30,83,0,2,0,0,748
2011,8,31,85,0,3,0,0,738
2011,9,1,82,0,4,0,0,697
2011,9,2,77,0,5,0,0,599
2011,9,3,84,0,6,1,0,804
2011,9,4,86,0,0,1,0,1026
2011,9,5,83,0,1,0,1,1580
2011,9,6,76,1,2,0,0,538
2011,9,7,69,1,3,0,0,415
2011,9,8,79,1,4,0,0,505
2011,9,9,86,0,5,0,0,696
2011,9,10,80,0,6,1,0,739
2012,5,26,85,0,6,1,0,828
2012,5,27,80,1,0,1,0,823
2012,5,28,90,0,1,0,1,1680
2012,5,29,91,0,2,0,0,876
2012,5,30,78,0,3,0,0,678
2012,5,31,82,0,4,0,0,693
2012,6,1,74,0,5,0,0,589
2012,6,2,76,1,6,1,0,593
2012,6,3,78,0,0,1,0,954
2012,6,4,64,1,1,0,0,451
2012,6,5,65,0,2,0,0,567
2012,6,6,72,1,3,0,0,481
2012,6,7,80,0,4,0,0,684
2012,6,8,84,0,5,0,0,699
2012,6,9,82,0,6,1,0,792
2012,6,10,87,1,0,1,0,912
2012,6,11,74,0,1,0,0,700
2012,6,12,73,1,2,0,0,514
2012,6,13,73,1,3,0,0,478
2012,6,14,77,0,4,0,0,632
2012,6,15,79,0,5,0,0,622
2012,6,16,78,0,6,1,0,727
2012,6,17,69,0,0,1,0,811
2012,6,18,68,0,1,0,0,610
2012,6,19,81,0,2,0,0,737
2012,6,20,97,0,3,0,0,902
2012,6,21,98,0,4,0,0,880
2012,6,22,94,1,5,0,0,656
2012,6,23,87,0,6,1,0,825
2012,6,24,87,0,0,1,0,1021
2012,6,25,75,1,1,0,0,544
2012,6,26,76,0,2,0,0,660
2012,6,27,86,0,3,0,0,750
2012,6,28,92,0,4,0,0,790
2012,6,29,97,1,5,0,0,678
2012,6,30,96,0,6,1,0,922
2012,7,1,97,0,0,1,0,1160
2012,7,2,90,0,1,0,0,885
2012,7,3,93,0,2,0,0,887
2012,7,4,97,1,3,0,1,1543
2012,7,5,96,0,4,0,0,854
2012,7,6,97,0,5,0,0,831
2012,7,7,100,0,6,1,0,986
2012,7,8,94,0,0,1,0,1108
2012,7,9,85,0,1,0,0,807
2012,7,10,86,0,2,0,0,784
2012,7,11,84,0,3,0,0,724
2012,7,12,88,0,4,0,0,739
2012,7,13,88,0,5,0,0,703
2012,7,14,86,0,6,1,0,796
2012,7,15,91,1,0,1,0,917
2012,7,16,93,0,1,0,0,892
2012,7,17,99,0,2,0,0,932
2012,7,18,103,1,3,0,0,808
2012,7,19,77,0,4,0,0,586
2012,7,20,74,1,5,0,0,374
2012,7,21,77,0,6,1,0,669
2012,7,22,83,0,0,1,0,940
2012,7,23,90,1,1,0,0,701
2012,7,24,96,0,2,0,0,879
2012,7,25,87,0,3,0,0,731
2012,7,26,93,1,4,0,0,632
2012,7,27,88,0,5,0,0,673
2012,7,28,83,0,6,1,0,729
2012,7,29,80,0,0,1,0,888
2012,7,30,81,0,1,0,0,712
2012,7,31,81,0,2,0,0,677
2012,8,1,79,1,3,0,0,509
2012,8,2,91,0,4,0,0,763
2012,8,3,92,0,5,0,0,740
2012,8,4,89,0,6,1,0,820
2012,8,5,92,1,0,1,0,915
2012,8,6,88,1,1,0,0,677
2012,8,7,83,0,2,0,0,718
2012,8,8,86,0,3,0,0,720
2012,8,9,88,1,4,0,0,571
2012,8,10,82,1,5,0,0,461
2012,8,11,87,0,6,1,0,780
2012,8,12,87,0,0,1,0,977
2012,8,13,87,0,1,0,0,788
2012,8,14,79,0,2,0,0,653
2012,8,15,83,1,3,0,0,529
2012,8,16,87,0,4,0,0,683
2012,8,17,89,0,5,0,0,672
2012,8,18,81,1,6,1,0,551
2012,8,19,75,0,0,1,0,812
2012,8,20,79,0,1,0,0,673
2012,8,21,82,0,2,0,0,676
2012,8,22,83,0,3,0,0,653
2012,8,23,85,0,4,0,0,643
2012,8,24,87,0,5,0,0,632
2012,8,25,84,0,6,1,0,713
2012,8,26,81,0,0,1,0,872
2012,8,27,81,1,1,0,0,544
2012,8,28,88,1,2,0,0,597
2012,8,29,81,0,3,0,0,613
2012,8,30,84,0,4,0,0,615
2012,8,31,92,0,5,0,0,680
2012,9,1,91,0,6,1,0,817
2012,9,2,80,0,0,1,0,875
2012,9,3,77,1,1,0,1,1291
2012,9,4,80,1,2,0,0,513
2012,9,5,82,1,3,0,0,503
2012,9,6,80,0,4,0,0,581
2012,9,7,89,0,5,0,0,659
2012,9,8,86,1,6,1,0,600
2012,9,9,79,0,0,1,0,848
2012,9,10,73,0,1,0,0,585
2013,5,26,70,0,0,1,0,760
2013,5,27,75,0,1,0,1,1414
2013,5,28,68,1,2,0,0,372
2013,5,29,87,0,3,0,0,714
2013,5,30,92,0,4,0,0,741
2013,5,31,92,0,5,0,0,706
2013,6,1,92,0,6,1,0,855
2013,6,2,89,1,0,1,0,875
2013,6,3,77,1,1,0,0,537
2013,6,4,77,0,2,0,0,640
2013,6,5,71,0,3,0,0,530
2013,6,6,70,1,4,0,0,343
2013,6,7,64,1,5,0,0,233
2013,6,8,77,1,6,1,0,513
2013,6,9,83,0,0,1,0,924
2013,6,10,72,1,1,0,0,459
2013,6,11,81,1,2,0,0,536
2013,6,12,79,0,3,0,0,615
2013,6,13,70,1,4,0,0,328
2013,6,14,72,1,5,0,0,318
2013,6,15,81,0,6,1,0,687
2013,6,16,83,0,0,1,0,909
2013,6,17,85,1,1,0,0,607
2013,6,18,82,1,2,0,0,534
2013,6,19,78,0,3,0,0,587
2013,6,20,79,0,4,0,0,565
2013,6,21,83,0,5,0,0,579
2013,6,22,84,0,6,1,0,710
2013,6,23,88,0,0,1,0,956
2013,6,24,93,0,1,0,0,830
2013,6,25,92,0,2,0,0,783
2013,6,26,88,0,3,0,0,697
2013,6,27,87,1,4,0,0,511
2013,6,28,88,0,5,0,0,627
2013,6,29,84,0,6,1,0,695
2013,6,30,85,0,0,1,0,904
2013,7,1,78,1,1,0,0,518
2013,7,2,84,0,2,0,0,697
2013,7,3,85,1,3,0,0,535
2013,7,4,89,0,4,0,1,1469
